epoch,alpha,l1_ratio,train_r2,test_r2,train_mae,test_mae,train_mape,test_mape,train_huber,test_huber,timestamp
1,0.001,0.7,0.7917972532432644,0.7884173603229511,7.328099180416186,7.370397204330875,0.11337228263903289,0.11545381857128113,9.010968548208757,9.067632244296405,2026-03-01 23:03:22
2,0.001,0.5,0.7917971018317866,0.7884162118791748,7.328384592776397,7.370648486308111,0.11337517212256486,0.11545570518567616,9.01134021805628,9.067968142187112,2026-03-01 23:03:22
3,0.001,0.9,0.7917973533570888,0.7884184593618471,7.327814474278291,7.37014802028227,0.11336940959705055,0.11545198369116758,9.010597848257973,9.067297319332202,2026-03-01 23:03:22
4,0.001,0.3,0.7917969021629703,0.7884152014261174,7.328666402910091,7.370893276784894,0.11337807686483017,0.11545758019084011,9.011707929431081,9.068295731385618,2026-03-01 23:03:22
5,0.001,0.1,0.7917966492978696,0.7884139947975431,7.32895271562428,7.371145387277604,0.11338099700533309,0.1154595084168712,9.012081754952607,9.068633128174728,2026-03-01 23:03:22
6,0.005,0.9,0.7917955802989418,0.788416893251472,7.329184600992598,7.3711396935187175,0.11338588596406167,0.1154600705678593,9.012388894600253,9.068601387245174,2026-03-01 23:03:22
7,0.005,0.7,0.791793092557458,0.7884094432684208,7.330628953408617,7.372419110852051,0.11340070609539792,0.11547007074444388,9.014281407429896,9.07031558591888,2026-03-01 23:03:23
8,0.005,0.5,0.7917894109015358,0.7884010675775359,7.332062865988903,7.373705148890312,0.1134156236816891,0.11548049497500212,9.016172234366572,9.072018885793288,2026-03-01 23:03:23
9,0.01,0.9,0.79179009794587,0.7884134115347917,7.330886388457594,7.372381552192525,0.113407116808596,0.11547127517573606,9.014646712525703,9.07020828571206,2026-03-01 23:03:23
10,0.005,0.3,0.7917844454088929,0.7883912433869814,7.333535104620089,7.375033375851067,0.11343116810109274,0.115491614012523,9.018111433134997,9.073779261971907,2026-03-01 23:03:23
