epoch,alpha,train_mse,test_mse,train_mae,test_mae,train_r2,test_r2,non_zero_features,selected_features,timestamp
1,0.0001,85.04343191342741,86.00022285242842,7.330545146373765,7.306109385947641,0.7865487045851685,0.787455487522958,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:58
2,0.001,85.04343512667504,85.99975564894497,7.3307405132549315,7.306267889507701,0.7865486965202086,0.7874566421889964,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:58
3,0.01,85.04375183438994,85.99517774999222,7.332688384611526,7.307831361149038,0.7865479016125891,0.7874679561980629,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:59
4,0.1,85.07551424810471,85.97923537810864,7.353444703888741,7.324860318139655,0.7864681808369762,0.7875073568361931,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:59
5,0.5,85.8456747951429,86.54465638450883,7.4776343810150925,7.434217360074905,0.7845351477650038,0.7861099519439311,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:59
6,1.0,88.25247058323214,88.71226031171413,7.702801247783367,7.645615275021119,0.7784943087818171,0.780752845826407,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:59
7,2.0,97.87972108154682,97.91691693248976,8.32763095664381,8.262236471768992,0.7543307838168293,0.7580040762407932,7,"bmi, blood_pressure, sugar, heart_rate, sleep_hours, steps, temperature",2026-03-01 22:57:59
