epoch,n_estimators,train_acc,test_acc,train_f1,test_f1,train_precision,test_precision,timestamp
1,50,0.9942048582604917,0.9573111840834461,0.9942049392472654,0.9572921062366415,0.9942050968689446,0.9574748589756438,2026-03-01 15:13:36
2,100,0.9945912010431255,0.9592428047131544,0.9945912615715653,0.9592305072478725,0.9945914382976762,0.9593388367076482,2026-03-01 15:13:39
3,150,0.994687786738784,0.9590496426501836,0.9946879068622122,0.9590353932300508,0.994688061230746,0.9591600525407045,2026-03-01 15:13:42
4,200,0.9944463224996378,0.9600154529650377,0.9944464204285693,0.9600038951135019,0.9944465677000229,0.9600907469679189,2026-03-01 15:13:45
5,250,0.9945912010431255,0.9600154529650377,0.9945915094431471,0.9600031102971861,0.9945919431655736,0.9600896465344665,2026-03-01 15:13:48
6,300,0.9946394938909547,0.9602086150280085,0.9946396992134426,0.9601934246588885,0.9946399815508534,0.960318356072011,2026-03-01 15:13:52
